"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2023-03-08 11:11:48",2023,1,1,1,3,2,2,2,2,"600","400000"," Gasabo"," Kimironko"
"2023-03-08 11:11:29",2023,1,1,1,3,3,3,0,0,"800","500000"," Gasabo"," Kimironko"
"2023-03-07 20:54:09",2019,1,1,1,2,0,3,5,0,"750","600000"," Gasabo"," Kimironko"
"2023-03-06 08:13:05",2022,1,1,1,2,2,2,5,0,"4040","350000"," Kicukiro"," Kicukiro"
"2023-03-04 19:55:11",2023,0,1,1,2,2,2,5,0,"6050","200000"," Kicukiro"," Masaka"
"2023-03-03 09:22:41",2020,2,1,1,1,1,1,8,0,"4040","500"," Gasabo"," Kimironko"
"2023-02-26 19:44:17",2023,0,1,1,2,2,2,0,0,"0","800"," Gasabo"," Kimironko"
"2023-02-26 11:37:02",2023,1,1,1,2,2,2,7,0,"3020","600"," Kicukiro"," Kanombe"
"2023-02-26 11:36:59",2022,3,1,1,1,1,1,7,0,"3020","600"," Kicukiro"," Kanombe"
"2023-02-23 10:22:04",2021,2,1,1,2,2,2,5,0,"5050","700"," Kicukiro"," Kanombe"
"2023-02-23 10:21:58",2021,3,1,1,1,1,1,10,0,"2970","600"," Kicukiro"," Kanombe"
"2023-02-22 09:40:08",2023,2,1,1,3,3,2,3,0,"500","600000"," Gasabo"," Remera"
"2023-02-21 09:58:34",2023,2,1,1,2,2,3,6,0,"715","500000"," Kicukiro"," Kagarama"
"2023-02-21 09:49:03",2023,2,1,1,4,4,3,3,0,"500","800000"," Gasabo"," Kimironko"
"2023-02-15 12:06:38",2023,0,1,1,2,3,2,3,2,"4580","600"," Gasabo"," Gisozi"
"2023-02-14 14:02:18",2023,2,1,1,3,3,2,3,0,"620","600"," Gasabo"," Remera"
"2023-02-10 07:54:16",2021,2,1,1,2,2,2,7,0,"6050","700"," Kicukiro"," Nyarugunga"
"2023-02-09 17:30:15",2023,0,1,1,1,0,1,0,0,"0","500"," Gasabo"," Kinyinya"
"2023-02-09 13:39:09",2019,2,1,1,2,2,3,8,0,"1700","620"," Gasabo"," Remera"
"2023-02-07 09:29:17",2023,0,1,1,2,2,2,3,0,"500","800000"," Gasabo"," Kimironko"
"2023-02-07 09:29:17",2023,0,1,1,3,2,2,3,0,"500","800000"," Gasabo"," Kimironko"
"2023-02-05 09:58:55",2023,0,1,1,2,2,1,5,1,"6050","200000"," Kicukiro"," Nyarugunga"
"2023-02-02 10:46:02",2023,1,1,1,3,2,2,3,2,"693","400000"," Gasabo"," Ndera"
"2023-01-28 12:00:48",2023,3,1,1,2,2,2,7,0,"1000","500000"," Gasabo"," Remera"
"2023-01-26 21:03:21",2023,0,1,1,2,2,2,3,0,"400","500000"," Kicukiro"," Gikondo"
"2023-01-26 19:12:56",2022,1,1,1,3,3,2,2,1,"2521","700"," Kicukiro"," Niboye"
"2023-01-26 07:59:13",2023,2,1,1,2,3,2,5,3,"45000","600"," Gasabo"," Gisozi"
"2023-01-25 13:55:03",2023,2,1,1,2,2,2,4,1,"800","800"," Gasabo"," Kimironko"
"2023-01-24 20:42:35",2022,1,1,1,3,3,2,2,1,"2115","700"," Kicukiro"," Niboye"
"2023-01-24 16:04:12",2023,0,1,1,2,0,2,0,0,"0","1000"," Gasabo"," Kimironko"
"2023-01-24 16:04:12",2023,2,1,1,2,2,1,3,0,"500","350000"," Gasabo"," Kimironko"
"2023-01-23 08:46:19",2022,1,1,1,3,3,2,2,1,"2115","700000"," Kicukiro"," Niboye"
"2023-01-17 13:43:16",2023,0,1,1,2,0,2,0,0,"0","1200"," Kicukiro"," Niboye"
"2023-01-16 07:46:57",2023,1,1,1,2,2,2,5,0,"2030","600"," Kicukiro"," Kanombe"
"2023-01-12 09:53:47",2023,3,1,1,2,2,1,8,0,"700","400"," Gasabo"," Kimironko"
"2023-01-12 09:18:02",2007,2,1,0,2,2,2,5,0,"545","400"," Gasabo"," Kimironko"
"2023-01-11 04:29:09",2023,0,1,1,4,4,3,0,0,"400","700"," Kicukiro"," Niboye"
"2023-01-10 15:08:38",2023,1,1,1,3,3,3,4,0,"500","1000"," Gasabo"," Kimironko"
