"date","build_year","floors","sitting_rooms","dining_rooms","bedrooms","wardrobes","bathrooms","car_parking","ancillary","landsize","price","district","sector"
"2022-04-05 16:35:40",2022,0,1,1,1,1,1,0,0,"300","4500000"," Kicukiro"," Kanombe"
"2022-04-02 11:47:56",2022,0,1,1,1,1,1,1,0,"300","400"," Gasabo"," Remera"
"2022-04-01 14:50:51",2022,1,0,0,0,0,0,1,0,"300","210000000"," Kicukiro"," Niboye"
"2022-04-01 14:45:00",2017,3,1,1,2,3,2,10,0,"2500","1050000000"," Gasabo"," Kinyinya"
"2022-03-15 06:09:40",2022,0,1,1,3,3,2,3,0,"500","500000"," Gasabo"," Kimironko"
"2022-03-07 10:35:16",2022,0,1,1,2,2,2,1,0,"300","350"," Gasabo"," Kimironko"
"2022-02-19 13:00:43",2022,1,1,1,0,0,0,0,0,"300","210000000"," Kicukiro"," Niboye"
"2022-02-18 07:43:36",2022,1,0,0,0,0,0,0,0,"300","210000000"," Kicukiro"," Niboye"
"2022-02-17 07:19:03",2022,0,1,1,4,4,3,5,2,"500","170000000"," Gasabo"," Kimironko"
"2022-02-15 12:41:53",2022,1,0,0,0,0,0,1,0,"300","210000000"," Kicukiro"," Niboye"
"2022-02-01 20:55:54",2018,0,0,0,0,0,0,0,0,"500","400000000"," Gasabo"," Kimironko"
